Access to electricity (% of population),"Current health expenditure per capita, PPP (current international $)",GDP per capita (constant LCU),"Government expenditure on education, total (% of GDP)","Intentional homicides (per 100,000 people)","Life expectancy at birth, total (years)",Out-of-pocket expenditure (% of current health expenditure),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),Country
100.0,4024.38623047,58686.2719137686,6.28366994857788,0.74435950948,81.85853658536591,12.91324902,12.1,4.01300001144409,86.615,New Zealand
88.0779571533203,473.92501831,26254.0596580675,4.35767984390259,7.1859479027,74.275,32.90708542,12.2,7.35500001907349,58.76,Nicaragua
17.6,77.98433685,309593.24928471696,3.54720997810364,11.4725077571,62.023999999999994,48.78827667,4.6,0.48500001430511497,16.517,Niger
56.5,232.99221802,358742.05256296205,4.833809947967529,34.524045903,54.332,76.60112762,9.5,7.96000003814697,51.157,Nigeria
100.0,6818.34619141,616445.420778564,7.91198015213013,0.46834371183,82.7585365853659,14.31417942,12.2,3.3099999427795397,82.616,Norway
100.0,1729.54199219,5799.035160421579,5.347612094879151,0.26918034172,77.633,5.98915243,3.9,2.5460000038147004,85.443,Oman
71.09154670080271,178.24232483,61241.8743799042,2.8995199203491198,3.8830827302,67.11399999999999,56.24116135,2.9,4.44500017166138,36.907,Pakistan
100.0,1856.69128418,10140.520092246701,4.35825400352478,9.3850224618,78.329,28.70455933,4.3,3.82500004768372,68.059,Panama
58.967357635498,101.27780151,7589.602595331429,1.9308899641036998,10.055940725720001,64.263,9.74447441,6.0,2.4869999885559104,13.25,Papua New Guinea
100.0,935.32897949,29748173.010770198,3.43833994865417,7.1448399951,74.131,45.32640457,9.5,4.83599996566772,61.879,Paraguay
95.2,766.63635254,16799.5505937736,3.8472900390625,7.909223862799999,76.516,29.1529007,4.9,3.1960000991821302,78.09899999999999,Peru
94.8572311401367,393.90402222,179144.646930539,4.968277931213381,6.4649881651,71.095,53.85138321,3.2,2.1640000343322803,47.148999999999994,Philippines
100.0,2015.28588867,52485.9764881893,4.55956983566284,0.73045470014,77.60243902439029,20.79457855,16.2,3.0399999618530296,60.037,Poland
100.0,3242.35180664,19430.742173582,5.0156102180481,0.78976680624,81.3243902439024,29.52176666,14.0,5.93300008773804,65.764,Portugal
100.0,598.4246124260001,2990.5181899079903,4.182406091690062,21.088314968,79.7781951219512,44.151006697999996,6.36,8.413999557495119,93.57600000000001,Puerto Rico
100.0,3165.85791016,237462.54316994,2.6953499317169203,5.76320434434,80.1,9.53881264,6.6,0.0820000022649765,99.18799999999999,Qatar
100.0,1576.29931641,23979.5699066941,3.09539008140564,1.2816496984999999,75.35853658536591,19.45757103,10.4,3.9219999313354506,54.083999999999996,Romania
34.7165718078613,169.82418823,724011.7368010491,3.0737500190734903,2.5771686082,68.7,10.51792812,6.7,1.04100000858307,17.313,Rwanda
100.0,355.18405151,10385.2950577634,4.1622200012207005,11.79671393474,73.187,11.78739738,4.4,8.35499954223633,18.055999999999997,Samoa
71.0,213.92353821,19788.1676701095,5.14906978607178,14.73048165298,70.17,14.99686718,2.3,13.670999526977502,73.598,Sao Tome and Principe
100.0,3519.90722656,77033.115007349,3.960491967201232,1.2658157867,74.998,14.36619282,3.2,5.8579998016357395,84.065,Saudi Arabia
66.95944976806639,146.39419556,816205.310792027,4.8332800865173295,0.26751815179,67.665,55.89098358,6.0,6.67600011825562,47.653,Senegal
100.0,1484.64892578,714120.1084237159,3.5853900909423797,1.2268905787,75.890243902439,38.31093597,15.6,12.7220001220703,56.26,Serbia
